model,epochs,lr,l2,dropout,conv_layers,seed,val_auc,val_logloss,val_pr_auc,val_brier,val_infer_time,test_auc,test_logloss,test_pr_auc,test_brier,test_infer_time,train_time
CTNet,3,0.001,1e-06,0.3,3,2025,0.9735689719026068,0.010676768019560629,0.28540156214212475,0.0024097207626281245,27.477222204208374,0.9717832270265331,0.010798229549083896,0.2774946735541752,0.002409373093559023,26.925264596939087,447.36221981048584
CTNet,3,0.001,1e-05,0.3,3,2025,0.9726710163351531,0.010706431284927586,0.28327045511035803,0.002410608702366901,27.36121392250061,0.9716081482843151,0.010833534358977033,0.2753754552877615,0.002411650358948215,24.281545400619507,437.54424691200256
CTNet,3,0.001,0.0001,0.3,3,2025,0.9711023604003916,0.010966505566168523,0.2726357673581012,0.002441044737382556,24.930571794509888,0.9682180887005133,0.01108843386127524,0.2637324853972398,0.0024438233572186704,27.853580713272095,445.81227374076843
CTNet,3,0.001,1e-06,0.5,3,2025,0.9735260590546834,0.010699123363660743,0.28488788180692776,0.0024118098083076188,27.368430376052856,0.9715860954213306,0.010820297658032973,0.2770721290204301,0.0024116788870217096,27.840596675872803,433.05538630485535
CTNet,3,0.001,1e-05,0.5,3,2025,0.9722001216296604,0.010756023149695301,0.2818132712871489,0.002417145591165104,27.00413727760315,0.9708219268129034,0.010880192801320446,0.27473506704048145,0.0024174183022153063,26.87779927253723,435.9761061668396
CTNet,3,0.001,0.0001,0.5,3,2025,0.9710980315112566,0.010953234421667513,0.2709823948764275,0.0024392362361781114,27.57965326309204,0.9681528748208124,0.011076866843708856,0.2604984587678884,0.002441656778446398,26.961421966552734,434.9579017162323
CTNet,3,0.001,1e-06,0.7,3,2025,0.9736188056588128,0.010713268212887601,0.2840514658101261,0.0024130504441882664,26.862869024276733,0.9715795886138046,0.010833437520864138,0.2754193263907586,0.002413563340186095,25.15569567680359,438.39629077911377
CTNet,3,0.001,1e-05,0.7,3,2025,0.9729015087330812,0.010776244560599321,0.2808199232270663,0.002419074489132182,25.50257158279419,0.971440891334706,0.010901902331678951,0.27305316599843366,0.0024207223749196805,26.309762716293335,434.5595304965973
CTNet,3,0.001,0.0001,0.7,3,2025,0.9710063357309506,0.010960948842005401,0.27117449404991667,0.002438028007940317,27.035271883010864,0.9680587875832075,0.01108197327587793,0.26171110469767367,0.002440226585184498,26.940363883972168,440.136794090271
