model,epochs,lr,l2,dropout,memory_hops,seed,val_auc,val_logloss,val_pr_auc,val_brier,val_infer_time,test_auc,test_logloss,test_pr_auc,test_brier,test_infer_time,train_time
DMR,3,0.001,1e-06,0.3,2,2025,0.9736547893627906,0.010675910757958497,0.2862954753232321,0.002407678895820476,25.261411905288696,0.9720204266178106,0.010795266348789308,0.278109691682556,0.0024061800723260422,24.53450322151184,407.65475845336914
DMR,3,0.001,1e-05,0.3,2,2025,0.9735700898159949,0.010693412239287813,0.285049712864775,0.0024101028881506007,28.332024335861206,0.9718209285727932,0.01081527837723525,0.27793589052366596,0.0024090100062857966,26.454080820083618,404.71660113334656
DMR,3,0.001,0.0001,0.3,2,2025,0.9734070674942978,0.010701990542324768,0.28016393336957107,0.0024179868020656023,25.427978992462158,0.9715804810875768,0.010822201459209582,0.27270073114952537,0.0024148769486508057,27.814783096313477,407.606568813324
DMR,3,0.001,1e-06,0.5,2,2025,0.9737443711808058,0.010663695960519567,0.2861577974522851,0.0024059806062295616,27.76112461090088,0.9720593659724077,0.010785929594051473,0.27868311517261196,0.0024044963495862114,28.20902132987976,402.85176706314087
DMR,3,0.001,1e-05,0.5,2,2025,0.9735472616881813,0.010690694360042868,0.28516877246095373,0.002409108325790362,27.838749885559082,0.9718066111883845,0.010813077176846056,0.27800548674603853,0.002408546443049642,28.514498472213745,408.63569045066833
DMR,3,0.001,0.0001,0.5,2,2025,0.9733222503562375,0.010718097632338497,0.27843188272337505,0.0024205356819743556,29.864675760269165,0.971550615059465,0.010837509381652137,0.27211025576350417,0.0024166716457644623,28.30697774887085,404.75098633766174
DMR,3,0.001,1e-06,0.7,2,2025,0.9737151703600804,0.010653599509615783,0.28273870711776067,0.002407843450174541,28.75264000892639,0.9720364664789523,0.010780479190086642,0.27532303532555824,0.0024071636453042995,27.82269287109375,410.92130517959595
DMR,3,0.001,1e-05,0.7,2,2025,0.9735400765783158,0.010686014884066007,0.28496864786475085,0.002409418312265455,27.94932222366333,0.9718119106974861,0.01080969699007007,0.2773806877862534,0.002408723908923181,27.355786085128784,407.2170419692993
DMR,3,0.001,0.0001,0.7,2,2025,0.9733044251598559,0.010717312461269352,0.277374580598279,0.0024211576889700795,28.22079563140869,0.9715096263250073,0.010842739028304401,0.2692148934363171,0.002417546062679201,27.797730922698975,411.9912836551666
