model,epochs,lr,l2,dropout,dnn_hidden_units,seed,val_auc,val_logloss,val_pr_auc,val_brier,val_infer_time,test_auc,test_logloss,test_pr_auc,test_brier,test_infer_time,train_time
WideDeep,3,0.001,1e-06,0.3,256 128 64,2025,0.9737724155514605,0.010649952576020163,0.283810310301071,0.002407105970432304,30.442583799362183,0.9718017650534496,0.010780903230926587,0.27597263735470073,0.002403300996697831,28.185396432876587,502.02095198631287
WideDeep,3,0.001,1e-05,0.3,256 128 64,2025,0.9734579548324973,0.010664368210383596,0.28454384630832086,0.002406058100454275,29.858259916305542,0.971678661045664,0.010785432616167696,0.27676132259223757,0.0024029480932261454,27.10482621192932,478.7828826904297
WideDeep,3,0.001,0.0001,0.3,256 128 64,2025,0.9714506255973073,0.010761902565143904,0.28166618277525424,0.0024124788737350062,26.2706458568573,0.9683595140677754,0.010880749948473056,0.2728561979946209,0.0024116815594549157,25.456958293914795,436.1305432319641
WideDeep,3,0.001,1e-06,0.5,256 128 64,2025,0.973755658388328,0.010651427229824392,0.28437850697261113,0.0024061137669617967,27.459590196609497,0.9718401975434937,0.01078580201262121,0.27529816842119775,0.0024042532849068063,27.364582538604736,444.9710886478424
WideDeep,3,0.001,1e-05,0.5,256 128 64,2025,0.9735218396376942,0.010667666440429218,0.2839068064476582,0.0024075025971457566,26.011971712112427,0.9717300184837775,0.010788709823187493,0.2756763053519522,0.002404453768574343,26.31797456741333,451.163094997406
WideDeep,3,0.001,0.0001,0.5,256 128 64,2025,0.9715202096746778,0.010756933669126865,0.28148695911583355,0.002412318962974827,28.619802236557007,0.9685202440529239,0.010876363569273784,0.27267295685918735,0.002410667947315209,30.406705379486084,439.4401388168335
WideDeep,3,0.001,1e-06,0.7,256 128 64,2025,0.9736903058095076,0.010666050674644387,0.2840980133044144,0.002407893887003219,30.031323432922363,0.9718171724809624,0.010812745770565377,0.27438192120834326,0.0024083328395053285,40.90788125991821,493.03212547302246
WideDeep,3,0.001,1e-05,0.7,256 128 64,2025,0.9736123132380262,0.010663501193758062,0.28403694274630353,0.0024077763783708554,27.53068232536316,0.9717523613870123,0.01080051590027311,0.2746626242218065,0.002406995914292462,28.743862628936768,448.10080099105835
WideDeep,3,0.001,0.0001,0.7,256 128 64,2025,0.9715343399724893,0.010756594834336533,0.28155212691845666,0.0024132169754610367,27.932302951812744,0.9686954227562832,0.010877227524586646,0.2726785411681122,0.002412285558971921,28.588281393051147,422.82661962509155
